820;1508342885;5061
820;1508342887;503
820;1508342888;995934
810;1508342890;989416
810;1508342892;984896
810;1508342894;980318
810;1508342896;975690
810;1508342898;971141
810;1508342900;966513
810;1508342902;961840
810;1508342904;957031
810;1508342906;952298
810;1508342908;947607
810;1508342910;942839
810;1508342912;938096
810;1508342914;933342
810;1508342916;928672
810;1508342918;924050
15;1508342919;929694
920;1508342921;938961
1050;1508342923;960202
1140;1508342925;973447
1190;1508342927;978874
1190;1508342929;974312
1190;1508342931;969646
1190;1508342933;965105
1190;1508342935;960517
1200;1508342937;957897
1200;1508342939;953290
1200;1508342941;948750
1200;1508342943;944304
1200;1508342945;939799
1200;1508342947;935184
1200;1508342949;930612
1200;1508342951;926042
1200;1508342953;921488
1200;1508342955;916847
1200;1508342957;912297
1200;1508342959;907841
1200;1508342961;903384
1200;1508342963;898693
1200;1508342965;894024
1200;1508342967;889358
1200;1508342969;884732
1200;1508342971;880104
1200;1508342973;875480
1200;1508342975;870891
1190;1508342977;864489
1190;1508342979;860032
1190;1508342981;855570
1190;1508342983;850999
1190;1508342985;846467
1190;1508342987;841932
1190;1508342989;837348
1190;1508342991;832831
1190;1508342993;828285
1190;1508342995;823856
1190;1508342997;819487
1180;1508342999;813173
1180;1508343001;808821
1180;1508343003;804546
1180;1508343005;800180
